[2021-03-24 16:47:28.407806] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: v2202, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407818] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: v2201, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407830] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: v2112, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407843] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: v2111, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407856] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: v2110, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407869] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: v2109, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407881] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: v2108, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407893] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: v2107, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407905] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: v2106, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407917] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: v2105, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407929] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: v2104, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407942] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sp2203, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407954] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sp2202, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407966] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sp2201, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407978] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sp2112, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.407990] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sp2111, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408002] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sp2110, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408041] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sp2109, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408061] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sp2108, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408073] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sp2107, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408085] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sp2106, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408097] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sp2105, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408110] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sp2104, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408124] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sn2203, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408136] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sn2202, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408148] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sn2201, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408160] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sn2112, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408173] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sn2111, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408185] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sn2110, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408197] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sn2109, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408210] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sn2108, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408223] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sn2107, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408235] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sn2106, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408247] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sn2105, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408259] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sn2104, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408271] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sc2403, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408283] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sc2312, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408295] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sc2309, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408308] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sc2306, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408320] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sc2303, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408332] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sc2212, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408346] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sc2209, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408369] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sc2206, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408382] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sc2203, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408394] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sc2202, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408406] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sc2201, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408419] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sc2112, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408431] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sc2111, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408443] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sc2110, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408455] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sc2109, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408467] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sc2108, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408479] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sc2107, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408492] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sc2106, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408504] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sc2105, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408516] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: sc2104, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408528] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: ru2203, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408540] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: ru2201, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408552] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: ru2111, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408564] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: ru2110, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408580] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: ru2109, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408592] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: ru2108, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408605] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: ru2107, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408618] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: ru2106, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408630] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: ru2105, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408642] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: ru2104, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408654] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: rr2203, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408666] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: rr2202, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408685] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: rr2201, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408698] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: rr2112, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408711] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: rr2111, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408723] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: rr2110, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408735] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: rr2109, price: 0, vol: 0, updateTime: 
[2021-03-24 16:47:28.408747] [18856] [info] [MyMarketSpi.cpp:85(MyMarketSpi::OnRtnDepthMarketData)] market record, instrid: rr2108, price: 0, vol: 0, updateTime: 
