[2021-03-16 16:58:32.658745] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: v2110
[2021-03-16 16:58:32.658751] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: v2109
[2021-03-16 16:58:32.658833] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: v2108
[2021-03-16 16:58:32.658838] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: v2107
[2021-03-16 16:58:32.658844] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: v2106
[2021-03-16 16:58:32.658849] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: v2105
[2021-03-16 16:58:32.658855] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: v2104
[2021-03-16 16:58:32.658861] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: v2103
[2021-03-16 16:58:32.658867] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sp2202
[2021-03-16 16:58:32.658873] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sp2201
[2021-03-16 16:58:32.658879] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sp2112
[2021-03-16 16:58:32.658885] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sp2111
[2021-03-16 16:58:32.658891] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sp2110
[2021-03-16 16:58:32.658897] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sp2109
[2021-03-16 16:58:32.658902] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sp2108
[2021-03-16 16:58:32.658906] [159918] [info] [MyMarketSpi.cpp:56(OnRspSubMarketData)] OnRspSubMarketData, subscribe success: sp2107
