[2021-03-23 13:24:54.978675] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4871.6, Volume: 14972
[2021-03-23 13:24:54.978786] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4940.6, Volume: 71633
[2021-03-23 13:24:55.459615] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4871.6, Volume: 14980
[2021-03-23 13:24:55.459762] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4940.4, Volume: 71635
[2021-03-23 13:24:55.985957] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4871.6, Volume: 14984
[2021-03-23 13:24:55.986107] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4940.4, Volume: 71644
[2021-03-23 13:24:56.491664] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4871.8, Volume: 14988
[2021-03-23 13:24:56.501104] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4940.4, Volume: 71648
[2021-03-23 13:24:56.501203] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4785.4, Volume: 3297
[2021-03-23 13:24:56.797272] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4871.4, Volume: 14989
[2021-03-23 13:24:56.797437] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4940.2, Volume: 71652
[2021-03-23 13:24:56.797555] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4785.4, Volume: 3297
[2021-03-23 13:24:57.479973] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4871, Volume: 14990
[2021-03-23 13:24:57.480105] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4940, Volume: 71664
[2021-03-23 13:24:57.480221] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4785.4, Volume: 3297
[2021-03-23 13:24:57.972638] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4871, Volume: 14990
[2021-03-23 13:24:57.972754] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4939.4, Volume: 71679
[2021-03-23 13:24:57.972846] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4785.4, Volume: 3297
[2021-03-23 13:24:58.474049] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4871, Volume: 14990
[2021-03-23 13:24:58.474178] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4939.2, Volume: 71684
[2021-03-23 13:24:58.474301] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4785.4, Volume: 3297
[2021-03-23 13:24:58.789346] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4871, Volume: 14990
[2021-03-23 13:24:58.789465] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4938.6, Volume: 71695
[2021-03-23 13:24:58.789595] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4785.4, Volume: 3297
[2021-03-23 13:24:59.477979] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4871, Volume: 14991
[2021-03-23 13:24:59.478101] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4938.4, Volume: 71701
[2021-03-23 13:24:59.478226] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4785.4, Volume: 3297
[2021-03-23 13:24:59.969670] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4871, Volume: 14991
[2021-03-23 13:24:59.969772] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2104, lastPrice: 4938.4, Volume: 71709
[2021-03-23 13:24:59.969963] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2109, lastPrice: 4785.4, Volume: 3297
[2021-03-23 13:25:00.274239] [14973] [info] [MyMarketSpi.cpp:84(OnRtnDepthMarketData)] RTN, instrumentid: IF2106, lastPrice: 4871, Volume: 14991
